GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QA-Automation,com.HRViewTimeSheet.page,H02_AssignManagerApprover,141,0,10,0,45,0,13,0,8,0
QA-Automation,com.HRViewTimeSheet.page,H04_HrManageDeletePage,33,0,0,0,13,0,3,0,3,0
QA-Automation,com.HRViewTimeSheet.page,H01_LoginPage,133,0,8,0,48,0,13,0,9,0
QA-Automation,com.HRViewTimeSheet.page,H03_HrManageEmployeePage,33,0,0,0,13,0,3,0,3,0
QA-Automation,com.TimeSheet.utils,Logs,26,15,0,0,11,7,6,3,6,3
QA-Automation,com.TimeSheet.utils,OptionManager,72,3,0,0,14,1,2,1,2,1
QA-Automation,com.TimeSheet.utils,ConfigReader,55,34,2,0,17,10,12,5,11,5
QA-Automation,com.TimeSheet.utils,CommonUtils,566,34,32,0,138,11,31,3,15,3
QA-Automation,com.TimeSheet.utils,WebDriverManager,6,54,3,7,2,16,4,4,1,2
QA-Automation,com.TimeSheet.utils,BrowserManager,47,8,4,0,13,2,5,1,3,1
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM12_BulkRejectedTimesheetPage,110,0,6,0,41,0,8,0,5,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM10_ManagerEditTimesheetPage,108,0,2,0,42,0,9,0,8,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM01_LoginPage,168,0,0,0,70,0,13,0,13,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM15_ReportsTimesheetSubmissionReportPage,69,0,0,0,24,0,6,0,6,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM04_VerifyManagerSubmittedTimesheetandApproveinAdminViewPage,91,0,0,0,34,0,6,0,6,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM19_RejectManagerCurrentWeekTimesheetFromAdminPage,81,0,0,0,30,0,4,0,4,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM02_CreateCurrentWeekTimeSheetPage,128,0,0,0,47,0,10,0,10,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM06_CreatePreviousWeekTimesheetPage,123,0,2,0,47,0,9,0,8,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM20_RejectManagerPreviousWeekTimesheetFromAdminPage,92,0,2,0,34,0,5,0,4,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM21_DeleteTimesheetPage,216,0,6,0,77,0,12,0,9,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM09_ManagerDraftTimesheetPage,86,0,4,0,32,0,6,0,4,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM11_BulkApprovedTimesheetPage,145,0,8,0,54,0,10,0,6,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM14_VerifyManagerRejectedTimesheetForEmployeePage,115,0,6,0,41,0,7,0,4,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM16_ReportsTimesheetDetailsReportPage,73,0,0,0,26,0,6,0,6,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM07_VerifyManagerSubmittedTimesheetandRejectinAdminViewPage,125,0,2,0,45,0,7,0,6,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM13_VerifyManagerApproveTimesheetForEmployeePage,92,0,4,0,33,0,6,0,4,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM05_VerifyManagerApprovedTimesheetPage,52,0,0,0,21,0,5,0,5,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM03_PendingTimesheetPage,62,0,0,0,22,0,5,0,5,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM08_VerifyManagerRejectedTimesheetPage,52,0,0,0,21,0,5,0,5,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM17_ManagerExceededTimesheetHoursPage,90,0,2,0,35,0,7,0,6,0
QA-Automation,com.AdminViewTimeSheet.page,PA04_CreateTimeSheetPage,194,0,10,0,72,0,19,0,14,0
QA-Automation,com.AdminViewTimeSheet.page,PA10_RejectSelftFromApprovePage,54,0,0,0,22,0,5,0,5,0
QA-Automation,com.AdminViewTimeSheet.page,PA09_AssignManagerApprover,141,0,10,0,45,0,13,0,8,0
QA-Automation,com.AdminViewTimeSheet.page,PA13_AdminManageEmployeePage,33,0,0,0,13,0,3,0,3,0
QA-Automation,com.AdminViewTimeSheet.page,PA02_TimeSheetManagementPage,49,0,0,0,21,0,5,0,5,0
QA-Automation,com.AdminViewTimeSheet.page,PA06_RejectedTimeSheetPage,135,0,0,0,54,0,9,0,9,0
QA-Automation,com.AdminViewTimeSheet.page,PA11_DeleteTimesheetRecords,96,0,2,0,34,0,8,0,7,0
QA-Automation,com.AdminViewTimeSheet.page,PA05_ApprovedTimeSheetPage,122,0,4,0,46,0,11,0,9,0
QA-Automation,com.AdminViewTimeSheet.page,PA03_PendingTimeSheetPage,35,0,0,0,13,0,3,0,3,0
QA-Automation,com.AdminViewTimeSheet.page,PA14_AdminManageDeletePage,33,0,0,0,13,0,3,0,3,0
QA-Automation,com.AdminViewTimeSheet.page,PA12_AdminCategoryDashboardPage,33,0,0,0,13,0,3,0,3,0
QA-Automation,com.AdminViewTimeSheet.page,PA09_AdminReportsPage,295,0,20,0,98,0,25,0,15,0
QA-Automation,com.AdminViewTimeSheet.page,PA01_LoginPage,62,71,8,0,17,31,6,7,2,7
QA-Automation,com.AdminViewTimeSheet.page,PA08_ApproveSelfTimesheetPage,153,0,8,0,57,0,14,0,10,0
QA-Automation,com.EmployeeViewTimeSheet.page,PE09_DeleteFutureWeekTimesheetPage,217,0,6,0,76,0,12,0,9,0
QA-Automation,com.EmployeeViewTimeSheet.page,PE05_RejectedTimesheetPage,45,0,0,0,15,0,3,0,3,0
QA-Automation,com.EmployeeViewTimeSheet.page,PE02_CreateTimeSheetPage,245,0,4,0,92,0,16,0,14,0
QA-Automation,com.EmployeeViewTimeSheet.page,PE06_TimesheetExceedANDPerdayHoursValidation,139,0,2,0,55,0,9,0,8,0
QA-Automation,com.EmployeeViewTimeSheet.page,PE08_ManagerLoginForApprovalPage,171,0,0,0,65,0,8,0,8,0
QA-Automation,com.EmployeeViewTimeSheet.page,PE04_ApproveTimesheetPage,52,0,0,0,17,0,3,0,3,0
QA-Automation,com.EmployeeViewTimeSheet.page,PE07_ManagerLogInForRejectedPage,175,0,2,0,63,0,9,0,8,0
QA-Automation,com.EmployeeViewTimeSheet.page,PE03_PendingTimesheetPage,60,0,0,0,22,0,5,0,5,0
QA-Automation,com.EmployeeViewTimeSheet.page,PE01_LoginPage,218,0,8,0,83,0,19,0,15,0
